,category_id,parent_id,Category
0,80428,0,/Apparel & Accessories
1,80429,80428,/Apparel & Accessories/Activewear
2,80557,80429,/Apparel & Accessories/Activewear/Running Apparel
3,80558,80429,/Apparel & Accessories/Activewear/Yoga Apparel
4,80949,80428,/Apparel & Accessories/Backpacks
5,80430,80428,/Apparel & Accessories/Costumes
6,80879,80428,/Apparel & Accessories/Eyewear
7,80880,80879,/Apparel & Accessories/Eyewear/Eyeglasses & Contact Lenses
8,80878,80879,/Apparel & Accessories/Eyewear/Sunglasses
9,80431,80428,/Apparel & Accessories/Formal Wear
10,80443,80431,/Apparel & Accessories/Formal Wear/Bridal Wear
11,80444,80431,/Apparel & Accessories/Formal Wear/Suits & Business Attire
12,80432,80428,/Apparel & Accessories/Handbags
13,80940,80428,/Apparel & Accessories/Hats
14,80433,80428,/Apparel & Accessories/Jewelry & Watches
15,80445,80433,/Apparel & Accessories/Jewelry & Watches/Fine Jewelry
16,80877,80445,/Apparel & Accessories/Jewelry & Watches/Fine Jewelry/Necklaces
17,80447,80433,/Apparel & Accessories/Jewelry & Watches/Watches
18,80446,80433,/Apparel & Accessories/Jewelry & Watches/Wedding & Engagement Rings
19,80434,80428,/Apparel & Accessories/Lingerie
20,80435,80428,/Apparel & Accessories/Luggage
21,80436,80428,/Apparel & Accessories/Men's Apparel
22,80438,80428,/Apparel & Accessories/Outerwear
23,80937,80428,/Apparel & Accessories/Pants
24,80938,80428,/Apparel & Accessories/Shirts & Tops
25,80439,80428,/Apparel & Accessories/Shoes
26,80448,80439,/Apparel & Accessories/Shoes/Athletic Shoes
27,80449,80439,/Apparel & Accessories/Shoes/Boots
28,80450,80439,/Apparel & Accessories/Shoes/Dress Shoes
29,80939,80428,/Apparel & Accessories/Shorts
30,80881,80428,/Apparel & Accessories/Socks
31,80440,80428,/Apparel & Accessories/Swimwear
32,80882,80428,/Apparel & Accessories/Underwear
33,80441,80428,"/Apparel & Accessories/Wallets, Briefcases & Leather Goods"
34,80442,80428,/Apparel & Accessories/Women's Apparel
35,80874,0,/Arts & Crafts Supplies
36,80001,0,/Autos & Vehicles
37,80468,80001,/Autos & Vehicles/Auto Parts & Accessories
38,80470,80468,/Autos & Vehicles/Auto Parts & Accessories/Auto Exterior Parts & Accessories
39,80471,80468,/Autos & Vehicles/Auto Parts & Accessories/Auto Interior Parts & Accessories
40,80472,80468,/Autos & Vehicles/Auto Parts & Accessories/Automotive Electronic Components
41,80473,80468,/Autos & Vehicles/Auto Parts & Accessories/Car Batteries
42,80474,80468,/Autos & Vehicles/Auto Parts & Accessories/Car Brakes
43,80475,80468,/Autos & Vehicles/Auto Parts & Accessories/Engine & Transmission
44,80476,80468,/Autos & Vehicles/Auto Parts & Accessories/High Performance & Aftermarket Auto Parts
45,80477,80468,/Autos & Vehicles/Auto Parts & Accessories/Wheels & Tires
46,80469,80001,/Autos & Vehicles/Auto Repair & Maintenance
47,80479,80469,/Autos & Vehicles/Auto Repair & Maintenance/Brake Service & Repair
48,80480,80469,/Autos & Vehicles/Auto Repair & Maintenance/Collision & Auto Body Repair
49,80478,80469,/Autos & Vehicles/Auto Repair & Maintenance/Glass Repair & Replacement
50,80481,80469,/Autos & Vehicles/Auto Repair & Maintenance/Oil Changes
51,80482,80469,/Autos & Vehicles/Auto Repair & Maintenance/Transmission Repair
52,80206,80001,/Autos & Vehicles/Motor Vehicles
53,80097,80206,/Autos & Vehicles/Motor Vehicles/Motor Vehicles (New)
54,80099,80206,/Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used)
55,80013,80206,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand
56,80014,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Acura
57,80093,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Alfa Romeo
58,80015,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Audi
59,80016,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW
60,80054,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Buick
61,80017,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Cadillac
62,80018,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Chevrolet
63,80019,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Chrysler
64,80020,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Citroën
65,80021,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Dodge
66,80022,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Fiat
67,80023,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Ford
68,80045,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/GM-Daewoo
69,80024,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/GMC
70,80025,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda
71,80056,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Hummer
72,80026,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Hyundai
73,80080,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Infiniti
74,80081,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Isuzu
75,80057,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jaguar
76,80027,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jeep
77,80028,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Kia
78,80059,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Land Rover
79,80029,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lexus
80,80030,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lincoln
81,80060,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Maserati
82,80031,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mazda
83,80032,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mercedes-Benz
84,80033,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mercury
85,80061,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mini
86,80034,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mitsubishi
87,80035,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Nissan
88,80036,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Peugeot
89,80037,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Pontiac
90,80038,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Porsche
91,80693,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Ram Trucks
92,80039,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Renault
93,80094,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/SEAT
94,80046,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Saab
95,80040,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Saturn
96,80063,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Scion
97,80041,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Subaru
98,80064,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Suzuki
99,80694,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors
100,80042,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Toyota
101,80047,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Vauxhall-Opel
102,80043,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volkswagen
103,80044,80013,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volvo
104,80296,80206,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price
105,80297,80296,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price/$0 - $15k (Motor Vehicles)
106,80298,80296,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price/$15k - $25k (Motor Vehicles)
107,80299,80296,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price/$25k - $35k (Motor Vehicles)
108,80300,80296,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price/$35k - $50k (Motor Vehicles)
109,80301,80296,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Price/$50k - $75k (Motor Vehicles)
